model_name,head,capacity,seed,track,source,frequency_bin,motif_recall
Composition shuffle,null,0,30,Composition shuffle,null,Common,0.7647420147420148
Markov baseline,null,0,30,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,30,Markov baseline,null,Intermediate,0.8794117647058823
Markov baseline,null,0,30,Markov baseline,null,Common,0.8513513513513513
Composition shuffle,null,0,31,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,31,Composition shuffle,null,Intermediate,0.888235294117647
Composition shuffle,null,0,31,Composition shuffle,null,Common,0.7493857493857494
Markov baseline,null,0,31,Markov baseline,null,Rare,0.5714285714285714
Markov baseline,null,0,31,Markov baseline,null,Intermediate,0.9147058823529411
Markov baseline,null,0,31,Markov baseline,null,Common,0.8396805896805897
Composition shuffle,null,0,32,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,32,Composition shuffle,null,Intermediate,0.8941176470588236
Composition shuffle,null,0,32,Composition shuffle,null,Common,0.7414004914004914
Markov baseline,null,0,32,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,32,Markov baseline,null,Intermediate,0.8176470588235294
Markov baseline,null,0,32,Markov baseline,null,Common,0.835995085995086
Composition shuffle,null,0,33,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,33,Composition shuffle,null,Intermediate,0.9235294117647059
Composition shuffle,null,0,33,Composition shuffle,null,Common,0.7297297297297297
Markov baseline,null,0,33,Markov baseline,null,Rare,0.5714285714285714
Markov baseline,null,0,33,Markov baseline,null,Intermediate,0.8
Markov baseline,null,0,33,Markov baseline,null,Common,0.851965601965602
Composition shuffle,null,0,34,Composition shuffle,null,Rare,0.5714285714285714
Composition shuffle,null,0,34,Composition shuffle,null,Intermediate,0.8941176470588236
Composition shuffle,null,0,34,Composition shuffle,null,Common,0.730958230958231
Markov baseline,null,0,34,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,34,Markov baseline,null,Intermediate,0.8941176470588236
Markov baseline,null,0,34,Markov baseline,null,Common,0.8237100737100738
Composition shuffle,null,0,35,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,35,Composition shuffle,null,Intermediate,0.8970588235294118
Composition shuffle,null,0,35,Composition shuffle,null,Common,0.7616707616707616
Markov baseline,null,0,35,Markov baseline,null,Rare,0.5714285714285714
Markov baseline,null,0,35,Markov baseline,null,Intermediate,0.8676470588235294
Markov baseline,null,0,35,Markov baseline,null,Common,0.8679361179361179
Composition shuffle,null,0,36,Composition shuffle,null,Rare,0.7142857142857143
