track,head,capacity,seed,prediction_type,threshold,class,duration_bin,gt_bouts,matched_bouts,recall
LSTM-256,lstm,256,42,raw_windows,0.25,investigation,0.5-1,379,112,0.2955145118733509
LSTM-256,lstm,256,42,raw_windows,0.25,investigation,1-2,238,93,0.3907563025210084
LSTM-256,lstm,256,42,raw_windows,0.25,investigation,2-4,165,72,0.43636363636363634
LSTM-256,lstm,256,42,raw_windows,0.25,investigation,4-8,111,70,0.6306306306306306
LSTM-256,lstm,256,42,raw_windows,0.25,investigation,>=8,53,40,0.7547169811320755
LSTM-256,lstm,256,42,raw_windows,0.25,mount,<0.25,5,1,0.2
LSTM-256,lstm,256,42,raw_windows,0.25,mount,0.25-0.5,13,3,0.23076923076923078
LSTM-256,lstm,256,42,raw_windows,0.25,mount,0.5-1,25,2,0.08
LSTM-256,lstm,256,42,raw_windows,0.25,mount,1-2,34,6,0.17647058823529413
LSTM-256,lstm,256,42,raw_windows,0.25,mount,2-4,62,8,0.12903225806451613
LSTM-256,lstm,256,42,raw_windows,0.25,mount,4-8,30,7,0.23333333333333334
LSTM-256,lstm,256,42,raw_windows,0.25,mount,>=8,39,12,0.3076923076923077
LSTM-256,lstm,256,42,raw_windows,0.5,attack,<0.25,26,2,0.07692307692307693
LSTM-256,lstm,256,42,raw_windows,0.5,attack,0.25-0.5,46,6,0.13043478260869565
LSTM-256,lstm,256,42,raw_windows,0.5,attack,0.5-1,77,8,0.1038961038961039
LSTM-256,lstm,256,42,raw_windows,0.5,attack,1-2,91,14,0.15384615384615385
LSTM-256,lstm,256,42,raw_windows,0.5,attack,2-4,78,13,0.16666666666666666
LSTM-256,lstm,256,42,raw_windows,0.5,attack,4-8,36,6,0.16666666666666666
LSTM-256,lstm,256,42,raw_windows,0.5,attack,>=8,2,0,0.0
LSTM-256,lstm,256,42,raw_windows,0.5,investigation,<0.25,220,26,0.11818181818181818
LSTM-256,lstm,256,42,raw_windows,0.5,investigation,0.25-0.5,301,57,0.1893687707641196
LSTM-256,lstm,256,42,raw_windows,0.5,investigation,0.5-1,379,84,0.22163588390501318
LSTM-256,lstm,256,42,raw_windows,0.5,investigation,1-2,238,68,0.2857142857142857
LSTM-256,lstm,256,42,raw_windows,0.5,investigation,2-4,165,57,0.34545454545454546
LSTM-256,lstm,256,42,raw_windows,0.5,investigation,4-8,111,63,0.5675675675675675
LSTM-256,lstm,256,42,raw_windows,0.5,investigation,>=8,53,33,0.6226415094339622
LSTM-256,lstm,256,42,raw_windows,0.5,mount,<0.25,5,1,0.2
LSTM-256,lstm,256,42,raw_windows,0.5,mount,0.25-0.5,13,2,0.15384615384615385
LSTM-256,lstm,256,42,raw_windows,0.5,mount,0.5-1,25,2,0.08
LSTM-256,lstm,256,42,raw_windows,0.5,mount,1-2,34,6,0.17647058823529413
LSTM-256,lstm,256,42,raw_windows,0.5,mount,2-4,62,7,0.11290322580645161
LSTM-256,lstm,256,42,raw_windows,0.5,mount,4-8,30,6,0.2
LSTM-256,lstm,256,42,raw_windows,0.5,mount,>=8,39,12,0.3076923076923077
LSTM-256,lstm,256,42,smoothed_frames,0.25,attack,<0.25,26,4,0.15384615384615385
LSTM-256,lstm,256,42,smoothed_frames,0.25,attack,0.25-0.5,46,10,0.21739130434782608
LSTM-256,lstm,256,42,smoothed_frames,0.25,attack,0.5-1,77,14,0.18181818181818182
LSTM-256,lstm,256,42,smoothed_frames,0.25,attack,1-2,91,24,0.26373626373626374
LSTM-256,lstm,256,42,smoothed_frames,0.25,attack,2-4,78,16,0.20512820512820512
LSTM-256,lstm,256,42,smoothed_frames,0.25,attack,4-8,36,7,0.19444444444444445
LSTM-256,lstm,256,42,smoothed_frames,0.25,attack,>=8,2,0,0.0
LSTM-256,lstm,256,42,smoothed_frames,0.25,investigation,<0.25,220,39,0.17727272727272728
LSTM-256,lstm,256,42,smoothed_frames,0.25,investigation,0.25-0.5,301,82,0.2724252491694352
LSTM-256,lstm,256,42,smoothed_frames,0.25,investigation,0.5-1,379,112,0.2955145118733509
LSTM-256,lstm,256,42,smoothed_frames,0.25,investigation,1-2,238,93,0.3907563025210084
LSTM-256,lstm,256,42,smoothed_frames,0.25,investigation,2-4,165,72,0.43636363636363634
