track,head,capacity,seed,model_name,class,gt_start_frame,gt_end_frame,gt_duration_frames,overlapping_pred_bouts,covered_gt_frames,gt_coverage_fraction,split,video_id
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,mount,12178,12308,131,1,112,0.8549618320610687,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,12310,12315,6,1,6,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,12552,12563,12,1,8,0.6666666666666666,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,13085,13142,58,1,48,0.8275862068965517,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,mount,13144,13183,40,1,24,0.6,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,13185,13194,10,1,10,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,13487,13502,16,1,15,0.9375,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,13580,13595,16,1,12,0.75,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,mount,13597,13699,103,1,96,0.9320388349514563,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,13701,13711,11,1,11,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,13870,13908,39,1,32,0.8205128205128205,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,14216,14232,17,0,0,0.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,14552,14614,63,1,63,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,15121,15347,227,1,208,0.9162995594713657,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,15443,15450,8,0,0,0.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,16048,16071,24,0,0,0.0,test_1,Mouse060_20160526_18-16-27
