model_name,head,capacity,seed,track,split,video_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,levenshtein_distance,normalized_edit_similarity,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,15,0.7619047619047619,4,48,54,60,0.8888888888888888,0.8,0.8421052631578948
yolo_sppf_full_attention896_seed43,attention,896,43,Attention-896,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,13,0.7936507936507937,1,54,55,63,0.9818181818181818,0.8571428571428571,0.9152542372881356
yolo_sppf_full_attention896_seed43,attention,896,43,Attention-896,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,13,0.7936507936507937,2,52,54,62,0.9629629629629629,0.8387096774193549,0.896551724137931
yolo_sppf_full_attention896_seed43,attention,896,43,Attention-896,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,13,0.7936507936507937,3,50,53,61,0.9433962264150944,0.819672131147541,0.8771929824561403
yolo_sppf_full_attention896_seed43,attention,896,43,Attention-896,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,13,0.7936507936507937,4,48,52,60,0.9230769230769231,0.8,0.8571428571428571
yolo_sppf_full_attention896_seed44,attention,896,44,Attention-896,test_1,Mouse061_20160526_18-38-49,63,58,0.9206349206349206,11,0.8253968253968254,1,56,58,63,0.9655172413793104,0.8888888888888888,0.9256198347107438
yolo_sppf_full_attention896_seed44,attention,896,44,Attention-896,test_1,Mouse061_20160526_18-38-49,63,58,0.9206349206349206,11,0.8253968253968254,2,53,57,62,0.9298245614035088,0.8548387096774194,0.8907563025210085
yolo_sppf_full_attention896_seed44,attention,896,44,Attention-896,test_1,Mouse061_20160526_18-38-49,63,58,0.9206349206349206,11,0.8253968253968254,3,51,56,61,0.9107142857142857,0.8360655737704918,0.8717948717948717
yolo_sppf_full_attention896_seed44,attention,896,44,Attention-896,test_1,Mouse061_20160526_18-38-49,63,58,0.9206349206349206,11,0.8253968253968254,4,50,55,60,0.9090909090909091,0.8333333333333334,0.8695652173913043
yolo_sppf_full_lstm256_seed42,lstm,256,42,LSTM-256,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,13,0.7936507936507937,1,56,57,63,0.9824561403508771,0.8888888888888888,0.9333333333333333
yolo_sppf_full_lstm256_seed42,lstm,256,42,LSTM-256,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,13,0.7936507936507937,2,54,56,62,0.9642857142857143,0.8709677419354839,0.9152542372881356
yolo_sppf_full_lstm256_seed42,lstm,256,42,LSTM-256,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,13,0.7936507936507937,3,52,55,61,0.9454545454545454,0.8524590163934426,0.8965517241379309
yolo_sppf_full_lstm256_seed42,lstm,256,42,LSTM-256,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,13,0.7936507936507937,4,50,54,60,0.9259259259259259,0.8333333333333334,0.8771929824561403
yolo_sppf_full_lstm256_seed43,lstm,256,43,LSTM-256,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,12,0.8095238095238095,1,56,56,63,1.0,0.8888888888888888,0.9411764705882353
yolo_sppf_full_lstm256_seed43,lstm,256,43,LSTM-256,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,12,0.8095238095238095,2,55,55,62,1.0,0.8870967741935484,0.9401709401709402
yolo_sppf_full_lstm256_seed43,lstm,256,43,LSTM-256,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,12,0.8095238095238095,3,53,54,61,0.9814814814814815,0.8688524590163934,0.9217391304347826
yolo_sppf_full_lstm256_seed43,lstm,256,43,LSTM-256,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,12,0.8095238095238095,4,51,53,60,0.9622641509433962,0.85,0.9026548672566371
yolo_sppf_full_lstm256_seed44,lstm,256,44,LSTM-256,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,13,0.7936507936507937,1,57,57,63,1.0,0.9047619047619048,0.9500000000000001
yolo_sppf_full_lstm256_seed44,lstm,256,44,LSTM-256,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,13,0.7936507936507937,2,56,56,62,1.0,0.9032258064516129,0.9491525423728813
