stream,head,capacity,seed,class,threshold,tp,fp,fn,bout_precision,bout_recall,bout_f1
animal_visual_only,attention,512,43,investigation,0.5,375.0,657.0,1092.0,0.3633720930232558,0.2556237218813906,0.30012004801920766
animal_visual_only,attention,512,43,mount,0.1,152.0,64.0,56.0,0.7037037037037037,0.7307692307692307,0.7169811320754716
animal_visual_only,attention,512,43,mount,0.25,144.0,72.0,64.0,0.6666666666666666,0.6923076923076923,0.6792452830188679
animal_visual_only,attention,512,43,mount,0.5,120.0,96.0,88.0,0.5555555555555556,0.5769230769230769,0.5660377358490566
animal_visual_only,attention,512,44,attack,0.1,212.0,150.0,144.0,0.585635359116022,0.5955056179775281,0.5905292479108635
animal_visual_only,attention,512,44,attack,0.25,171.0,191.0,185.0,0.4723756906077348,0.4803370786516854,0.4763231197771588
animal_visual_only,attention,512,44,attack,0.5,93.0,269.0,263.0,0.2569060773480663,0.2612359550561798,0.2590529247910864
animal_visual_only,attention,512,44,investigation,0.1,710.0,335.0,757.0,0.6794258373205742,0.4839809134287662,0.5652866242038216
animal_visual_only,attention,512,44,investigation,0.25,590.0,455.0,877.0,0.5645933014354066,0.4021813224267212,0.4697452229299363
animal_visual_only,attention,512,44,investigation,0.5,352.0,693.0,1115.0,0.3368421052631579,0.23994546693933197,0.2802547770700637
animal_visual_only,attention,512,44,mount,0.1,164.0,87.0,44.0,0.6533864541832669,0.7884615384615384,0.7145969498910676
animal_visual_only,attention,512,44,mount,0.25,159.0,92.0,49.0,0.6334661354581673,0.7644230769230769,0.6928104575163399
animal_visual_only,attention,512,44,mount,0.5,143.0,108.0,65.0,0.5697211155378487,0.6875,0.6230936819172114
animal_visual_only,attention,896,42,attack,0.1,198.0,190.0,158.0,0.5103092783505154,0.5561797752808989,0.5322580645161291
animal_visual_only,attention,896,42,attack,0.25,160.0,228.0,196.0,0.41237113402061853,0.449438202247191,0.43010752688172044
animal_visual_only,attention,896,42,attack,0.5,82.0,306.0,274.0,0.211340206185567,0.2303370786516854,0.2204301075268817
animal_visual_only,attention,896,42,investigation,0.1,659.0,282.0,808.0,0.7003188097768331,0.4492160872528971,0.54734219269103
animal_visual_only,attention,896,42,investigation,0.25,562.0,379.0,905.0,0.5972369819341127,0.3830947511929107,0.46677740863787376
animal_visual_only,attention,896,42,investigation,0.5,346.0,595.0,1121.0,0.36769394261424015,0.23585548738922973,0.2873754152823921
animal_visual_only,attention,896,42,mount,0.1,162.0,72.0,46.0,0.6923076923076923,0.7788461538461539,0.7330316742081447
animal_visual_only,attention,896,42,mount,0.25,157.0,77.0,51.0,0.6709401709401709,0.7548076923076923,0.7104072398190046
animal_visual_only,attention,896,42,mount,0.5,134.0,100.0,74.0,0.5726495726495726,0.6442307692307693,0.6063348416289592
animal_visual_only,attention,896,43,attack,0.1,211.0,138.0,145.0,0.6045845272206304,0.5926966292134831,0.5985815602836879
animal_visual_only,attention,896,43,attack,0.25,173.0,176.0,183.0,0.49570200573065903,0.4859550561797753,0.4907801418439717
animal_visual_only,attention,896,43,attack,0.5,98.0,251.0,258.0,0.2808022922636103,0.2752808988764045,0.2780141843971631
animal_visual_only,attention,896,43,investigation,0.1,688.0,304.0,779.0,0.6935483870967742,0.46898432174505794,0.5595770638470923
animal_visual_only,attention,896,43,investigation,0.25,588.0,404.0,879.0,0.592741935483871,0.40081799591002043,0.4782431882879219
animal_visual_only,attention,896,43,investigation,0.5,359.0,633.0,1108.0,0.36189516129032256,0.2447171097477846,0.2919886132574217
animal_visual_only,attention,896,43,mount,0.1,157.0,62.0,51.0,0.7168949771689498,0.7548076923076923,0.7353629976580796
animal_visual_only,attention,896,43,mount,0.25,151.0,68.0,57.0,0.6894977168949772,0.7259615384615384,0.7072599531615925
animal_visual_only,attention,896,43,mount,0.5,135.0,84.0,73.0,0.6164383561643836,0.6490384615384616,0.6323185011709602
animal_visual_only,attention,896,44,attack,0.1,216.0,102.0,140.0,0.6792452830188679,0.6067415730337079,0.6409495548961425
animal_visual_only,attention,896,44,attack,0.25,179.0,139.0,177.0,0.5628930817610063,0.5028089887640449,0.5311572700296736
animal_visual_only,attention,896,44,attack,0.5,102.0,216.0,254.0,0.32075471698113206,0.28651685393258425,0.3026706231454006
animal_visual_only,attention,896,44,investigation,0.1,735.0,361.0,732.0,0.6706204379562044,0.5010224948875256,0.573546625048771
